PCT,crime_category,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
6,non_seven_major_felony-offenses,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,788.0,687.0,817.0,615.0,805.0,632.0,676.0,714.0,625.0,527.0,559.0,426.0,499.0,565.0,450.0,507.0
6,misdemeanor_offenses_listing,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12.0,25.0,13.0,18.0,27.0,16.0,46.0,72.0,49.0,86.0,85.0,44.0,48.0,30.0,20.0,16.0
6,misdemeanor_offenses_listing,MISDEMEANOR SEX CRIMES (4),37.0,64.0,34.0,30.0,36.0,35.0,44.0,16.0,28.0,33.0,24.0,34.0,40.0,39.0,31.0,43.0
6,misdemeanor_offenses_listing,MISDEMEANOR DANGEROUS DRUGS  (1),2871.0,2517.0,2560.0,1469.0,1003.0,846.0,902.0,1200.0,1037.0,1050.0,1021.0,1220.0,618.0,543.0,622.0,330.0
6,misdemeanor_offenses_listing,MISDEMEANOR DANGEROUS WEAPONS (5)               ,17.0,22.0,15.0,11.0,15.0,13.0,23.0,43.0,25.0,18.0,23.0,21.0,35.0,42.0,50.0,43.0
6,misdemeanor_offenses_listing,PETIT LARCENY                         ,1632.0,1561.0,1436.0,1164.0,1277.0,1278.0,1397.0,1501.0,1560.0,1525.0,1453.0,1348.0,1451.0,1555.0,1290.0,1442.0
6,misdemeanor_offenses_listing,ASSAULT 3 AND RELATED OFFENSES        ,412.0,379.0,285.0,263.0,298.0,288.0,290.0,311.0,250.0,295.0,286.0,334.0,420.0,353.0,338.0,374.0
6,misdemeanor_offenses_listing,INTOXICATED & IMPAIRED DRIVING              ,41.0,31.0,42.0,28.0,50.0,63.0,82.0,116.0,145.0,257.0,156.0,48.0,115.0,189.0,77.0,28.0
6,misdemeanor_offenses_listing,VEHICLE AND TRAFFIC LAWS              ,66.0,58.0,56.0,36.0,34.0,40.0,43.0,31.0,23.0,29.0,26.0,42.0,46.0,43.0,31.0,26.0
6,misdemeanor_offenses_listing,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,384.0,342.0,340.0,308.0,228.0,195.0,293.0,304.0,338.0,228.0,272.0,211.0,255.0,212.0,216.0,227.0
6,misdemeanor_offenses_listing,CRIMINAL TRESPASS,30.0,69.0,50.0,46.0,41.0,56.0,56.0,70.0,81.0,39.0,82.0,114.0,103.0,113.0,97.0,91.0
6,misdemeanor_offenses_listing,UNAUTHORIZED USE OF A VEHICLE           ,5.0,11.0,5.0,5.0,4.0,5.0,7.0,9.0,9.0,3.0,2.0,6.0,4.0,2.0,7.0,8.0
6,misdemeanor_offenses_listing,OFFENSES AGAINST THE PERSON (7)      ,6.0,10.0,5.0,5.0,2.0,4.0,6.0,3.0,7.0,6.0,4.0,7.0,8.0,15.0,12.0,9.0
